,Company Name,Symbol,Stock Exchange,Price 3/6/2020,Price 1/6/2020,Price Change,P/E,Cash Flow,Book Value per Share,Debt Ratio,Percent Price Change,Projected Cash Flow,Investability Rating
356,Tractor Supply Co.,TSCO,NAS,91.9,91.13,0.77,14.79,551,13.22,70.37,0.84%,619,4.9
357,TransDigm Group IncShs,TDG,NYSE,521.72,576.99,-55.27,22.17,"1,402",-31.15,117.75,-9.58%,"1,678",5.02
358,TripAdvisor Inc.,TRIP,NAS,20.92,29.85,-8.93,11.76,333,11.58,41.48,-13.41%,374,7.03
359,Twitter,TWTR,NYSE,33.73,31.2,2.53,33.06,859,11.38,31.48,8.11%,997,5.16
360,Tyson Foods Inc.,TSN,NYSE,65.14,90.22,-25.08,9.08,"1,906",43.63,57.02,-27.8%,"2,439",6.88
361,UDR Inc,UDR,NYSE,47.58,46.45,1.13,93.56,158,8.97,54.26,2.43%,174,4.34
362,Ulta Beauty Inc Registered Shs,ULTA,NAS,252.41,248.71,3.7,18.54,784,31.31,44.5,1.49%,666,3.85
363,Under Armour Inc When Issued,UA,NYSE,11.33,19,-7.67,26.14,196,5.41,55.61,-40.37%,248,6.97
364,Under Armour Inc.,UAA,NYSE,12.79,21.51,-8.72,24.45,196,5.41,55.61,-40.54%,248,7.03
365,Union Pacific Corp.,UNP,NYSE,149.52,179.7,-30.18,14.95,"5,872",23.23,70.86,-16.79%,"6,529",5.25
366,United Airlines Holdings Inc Registered Shs,UAL,NAS,48.65,86.72,-38.07,3.95,"1,065",61.52,79.65,-43.9%,"2,992",6.5
367,United Parcel Service Inc. (UPS),UPS,NYSE,90.34,115.55,-25.21,11.47,"4,162",10.43,94.33,-21.82%,"5,271",6.47
368,United Rentals Inc.,URI,NYSE,113.92,162.61,-48.69,5.14,"1,744",66.68,80.46,-29.94%,"1,805",4.83
369,United Technologies Corp. (UTC),UTX,NYSE,121.66,153.45,-31.79,13.24,"6,584",64.59,68.27,-20.72%,"8,671",5.62
370,UnitedHealth Inc.,UNH,NYSE,275.42,288,-12.58,17.26,"17,694",68.46,64.83,-4.37%,"20,292",4.08
371,Universal Health Services Inc.,UHS,NYSE,123.35,141.11,-17.76,12.57,818,67.49,52.15,-12.59%,"1,029",5.75
372,V.F. Corp.,VFC,NYSE,69.47,99,-29.53,19.64,978,11.61,58.5,-29.83%,"1,558",7.17
373,Valero Energy Corp.,VLO,NYSE,59.56,91.11,-31.55,5.9,"3,621",53.19,58.66,-34.63%,"2,871",5.45
374,Varian Medical Systems Inc.,VAR,NYSE,122.43,144.41,-21.98,21.49,482,32.51,56.66,-15.22%,521,4.71
375,Ventas Inc.,VTR,NYSE,50.7,57.16,-6.46,36.57,"1,341",38.21,56.18,-11.3%,"1,422",3.76
376,VeriSign Inc.,VRSN,NAS,186.06,199.99,-13.93,31.76,853,-11.86,180.37,-6.97%,932,3.95
377,Verisk Analytics Inc (A),VRSK,NAS,159.17,151.84,7.33,34.46,870,15.01,67.96,4.83%,968,3.65
378,Verizon Inc.,VZ,NYSE,55.29,60.1,-4.81,11.06,"20,423",16.91,78.46,-8.0%,"20,875",4.61
379,Vertex Pharmaceuticals Inc.,VRTX,NAS,229.15,217.73,11.42,33.74,101,26.34,26.85,5.25%,700,5.22
380,Visa Inc.,V,NYSE,183.19,188,-4.81,27.93,"13,228",18.49,52.21,-2.56%,"16,013",5.0
381,Vulcan Materials Co.,VMC,NYSE,126.39,142.19,-15.8,20.7,695,46.95,48.34,-11.11%,847,5.22
382,Walgreens Boots Alliance Inc,WBA,NAS,47.25,59.04,-11.79,7.9,"5,313",32.51,64.27,-19.97%,"5,023",5.27
383,Walmart,WMT,NYSE,113.87,117.4,-3.53,23.48,"15,340",27.44,65.52,-3.01%,"16,558",3.61
384,Walt Disney,DIS,NYSE,110.75,145.46,-34.71,19.42,"9,020",53.51,46.98,-23.86%,"8,814",4.72
385,Waste Management Inc.,WM,NYSE,114.43,114.6,-0.17,23.25,"2,187",18.23,74.89,-0.15%,"2,349",3.47
386,Waters Corp.,WAT,NYSE,194.49,229.67,-35.18,24.93,616,-13.31,108.46,-15.32%,643,4.24
387,WEC Energy Group Inc,WEC,NYSE,101.67,91.34,10.33,23.94,-86,33.39,71.38,11.31%,582,1.87
388,Western Digital Corp.,WDC,NAS,55.05,62.96,-7.91,17.93,"1,387",31.65,62.2,-12.56%,"1,009",3.98
389,WestRock Co When Issued,WRK,NYSE,30.19,42.83,-12.64,10.1,"1,151",46.74,61.25,-29.51%,"1,405",6.47
390,Whirlpool Corp.,WHR,NYSE,120.78,144.66,-23.88,9.99,894,48.71,78.19,-16.51%,"1,092",5.35
391,Williams Companies Inc.,WMB,NYSE,17.98,23.66,-5.68,16.0,"2,045",10.77,65.67,-24.01%,"1,796",5.44
392,Wyndham Worldwide CorpShs,WYND,NYSE,36.71,50.84,-14.13,7.94,572,3.6,107.03,-27.79%,583,5.91
393,Wynn Resorts Ltd.,WYNN,NAS,92,139.2,-47.2,14.68,"1,105",19.18,88.93,-33.91%,"1,306",5.9
394,Xcel Energy Inc.,XEL,NAS,66.51,62.76,3.75,22.45,"-1,439",26.59,74.88,5.98%,-388,2.17
395,Xilinx Inc.,XLNX,NAS,78.88,97.84,-18.96,22.49,847,11.79,44.45,-19.38%,861,5.63
396,Xylem Inc.,XYL,NYSE,80.19,79.86,0.33,22.27,628,17.62,61.52,0.41%,714,4.54
397,YUM! Brands Inc.,YUM,NYSE,88.02,101.43,-13.41,20.67,"1,078",-28.75,253.24,-13.22%,"1,716",5.72
398,Zimmer Biomet,ZBH,NYSE,125.26,148.57,-23.31,15.23,"1,463",73.31,49.7,-15.69%,"1,615",5.09
399,Zoetis Inc (A),ZTS,NYSE,133.11,133.78,-0.67,32.03,"2,015",7.93,76.54,-0.5%,"2,298",4.17
