,Company Name,Symbol,Stock Exchange,Price 3/6/2020,Price 1/6/2020,Price Change,P/E,Cash Flow,Book Value per Share,Debt Ratio,Percent Price Change,Projected Cash Flow,Investability Rating
79,Chesapeake Energy Corp.,CHK,NYSE,0.22,0.95,-0.73,-0.53,-99,1.88,72.82,-76.84%,-350,8.46
80,Chevron Corp.,CVX,NYSE,93.98,121.24,-27.26,12.21,"14,386",82.17,38.84,-22.48%,"15,499",5.78
81,Chipotle Mexican Grill Inc.,CMG,NYSE,700,862.5,-162.5,38.08,520,68.79,71.56,-18.84%,650,4.03
82,Church & Dwight Co. Inc.,CHD,NYSE,73.01,70.43,2.58,26.66,768,10.4,59.93,3.66%,832,4.17
83,Cimarex Energy Co.,XEC,NYSE,27.3,53.78,-26.48,3.05,188,44.51,48.77,-49.24%,361,7.85
84,Cintas Corp.,CTAS,NAS,264.87,268.13,-3.26,28.71,907,28.26,60.67,-1.22%,"1,058",4.17
85,Cisco Inc.,CSCO,NAS,38,47.1,-9.1,11.45,"13,860",8.98,65.67,-19.32%,"15,241",6.48
86,Citrix Systems Inc.,CTXS,NAS,112.24,111.32,0.92,20.51,916,6.88,80.91,0.83%,"1,039",4.42
87,"Clorox Co., The",CLX,NYSE,171.58,153.07,18.51,28.65,808,3.41,89.07,12.09%,798,2.74
88,CME Group Inc (A),CME,NAS,217.46,205.09,12.37,27.05,"2,578",76.7,65.25,6.03%,"2,760",2.33
89,CMS Energy Corp.,CMS,NYSE,65.71,62.47,3.24,24.24,-706,19.36,81.16,5.19%,-256,2.21
90,Coca-Cola Co.,KO,NYSE,54.71,54.78,-0.07,23.3,"7,990",4.38,75.58,-0.13%,"9,410",4.7
91,Cognizant Corp.,CTSH,NAS,57.75,61.04,-3.29,13.93,"2,094",22.43,31.98,-5.39%,"2,223",5.65
92,Colgate-Palmolive Co.,CL,NYSE,70.07,68.08,1.99,23.64,"2,684",0.68,96.29,2.92%,"2,826",3.4
93,Comcast Corp. (Class A),CMCSA,NAS,38.91,44.66,-5.75,11.27,"15,734",19.96,67.64,-12.88%,"16,666",5.28
94,ConAgra Foods Inc.,CAG,NYSE,27.4,33.76,-6.36,15.63,"1,026",15.29,66.4,-18.84%,"1,209",6.21
95,Concho Resources IncShs,CXO,NYSE,61.75,90.84,-29.09,11.19,344,57.88,30.24,-32.02%,542,7.42
96,ConocoPhillips,COP,NYSE,45.98,66.28,-20.3,10.86,"4,160",31.39,50.29,-30.63%,"4,557",6.53
97,Consolidated Edison Inc.,ED,NYSE,85.59,88.67,-3.08,18.02,349,56.53,68.64,-3.47%,494,4.42
98,Constellation Brands Inc (A),STZ,NYSE,176.74,189.05,-12.31,21.54,"1,322",63.95,56.08,-6.51%,"1,730",4.64
99,Cooper Cos. Inc.,COO,NYSE,333,321.47,11.53,25.46,472,84.09,42.17,3.59%,596,4.09
100,Corning Inc.,GLW,NYSE,23.62,29.37,-5.75,12.49,715,14.5,55.02,-19.58%,"1,079",7.52
101,Costco Wholesale Corp.,COST,NAS,313.28,290.55,22.73,33.9,"2,609",40.4,65.67,7.82%,"3,089",3.19
102,Coty Inc (A),COTY,NYSE,8.63,10.99,-2.36,11.48,285,5.98,71.44,-21.47%,441,7.38
103,Crown Castle Corp,CCI,NYSE,159.26,142.14,17.12,62.34,"1,719",24.57,72.73,12.04%,"1,549",1.95
104,CSX Corp.,CSX,NAS,66.02,72.18,-6.16,17.42,"3,108",13.94,69.49,-8.53%,"3,209",4.53
105,Cummins Inc.,CMI,NYSE,144.83,175.56,-30.73,11.85,"1,707",50.04,57.11,-17.5%,"1,672",4.81
106,CVS Health Corp,CVS,NYSE,62.61,73.12,-10.51,8.67,"10,131",53.26,71.39,-14.37%,"10,995",4.88
107,D.R. Horton Inc.,DHI,NYSE,54.71,53.36,1.35,11.66,"1,663",31.11,34.57,-0.13%,"1,690",5.04
108,Danaher Corp.,DHR,NYSE,145.22,153.45,-8.23,25.74,"4,083",43.73,51.22,-5.36%,"4,711",4.29
109,Darden Restaurants Inc.,DRI,NYSE,84.47,112.12,-27.65,17.27,553,20.51,61.56,-24.66%,592,5.63
110,DaVita HealthCare Partners Inc,DVA,NYSE,78.77,74.84,3.93,14.35,651,17.84,80.64,5.25%,840,4.76
111,Deere & Co. (John Deere),DE,NYSE,154.2,174.48,-20.28,15.52,"2,318",39.98,84.34,-11.62%,"3,058",4.67
112,Delta Air Lines Inc.,DAL,NYSE,43.4,56.88,-13.48,6.02,"3,744",28.81,76.2,-23.7%,"3,728",5.2
113,DENTSPLY SIRONA Inc,XRAY,NAS,43.9,56.04,-12.14,15.46,454,23.99,40.78,-21.66%,588,7.17
114,Devon Energy Corp.,DVN,NYSE,15.1,26.33,-11.23,5.87,543,16.67,56.84,-42.65%,442,6.6
115,Digital Realty Trust Inc.,DLR,NYSE,126.22,119.47,6.75,88.75,903,42.7,53.83,5.65%,358,2.17
116,Discovery Communications Inc  (A),DISCA,NAS,24.34,31.83,-7.49,6.6,"3,075",18.81,64.53,-23.53%,"3,209",6.17
117,Discovery Communications Inc  (C),DISCK,NAS,23.2,29.88,-6.68,5.88,"3,075",18.81,64.53,-22.36%,"3,209",6.15
118,Dish Network Corp.,DISH,NAS,30.8,35.57,-4.77,18.81,785,24.8,63.96,-13.41%,673,4.15
119,Dollar General Corporation,DG,NYSE,154.22,154.41,-0.19,23.37,"1,396",26.79,51.74,-0.12%,"1,525",4.13
120,Dollar Tree Inc,DLTR,NAS,76,91.59,-15.59,17.71,898,27.7,68.05,-17.02%,"1,034",5.28
121,Dominion Energy Inc.,D,NYSE,84.46,81.85,2.61,18.19,"1,117",35.39,67.22,3.19%,"1,670",4.49
122,Dover Corp.,DOV,NYSE,102.24,114.7,-12.46,14.56,875,22.69,65.02,-10.86%,923,4.83
123,Dr Pepper Snapple Group Inc,KDP,NYSE,26.3,28.63,-2.33,20.41,"2,535",17.06,53.03,-8.14%,"2,539",4.66
124,DTE Energy Co.,DTE,NYSE,112.5,128.96,-16.46,16.56,"-2,434",64.38,71.74,-12.76%,-186,3.1
125,Duke Energy Corp,DUK,NYSE,97.07,90.4,6.67,18.34,"-2,081",63.69,70.68,7.38%,-784,2.06
126,DuPont de Nemours,DD,NYSE,41,61.88,-20.88,8.73,"3,177",61.39,40.12,-33.74%,"3,592",6.85
127,DXC Technology,DXC,NYSE,19,34.81,-15.81,2.95,"1,741",44.42,60.35,-45.42%,"1,725",5.85
128,Eastman Chemical Company,EMN,NYSE,57.62,75.64,-18.02,7.31,"1,072",47.3,62.32,-23.82%,"1,128",5.53
129,Eaton Corporation Public Limited Company,ETN,NYSE,90.31,94.54,-4.23,14.9,"2,865",39.41,50.82,-4.47%,"2,765",4.17
130,eBay Inc.,EBAY,NAS,35.71,35.78,-0.07,12.5,"2,279",3.32,84.21,-0.2%,"2,633",5.38
131,Ecolab Inc.,ECL,NYSE,193.91,188.33,5.58,28.39,"1,853",32.95,58.19,2.96%,"1,627",2.72
132,Edison International,EIX,NYSE,67.45,74.76,-7.31,17.6,"-1,028",41.6,75.93,-9.78%,-522,3.0
133,Edwards Lifesciences Corp.,EW,NYSE,201.9,230.95,-29.05,32.22,"1,161",23.42,36.06,-12.58%,"1,302",5.28
134,Electronic Arts Inc.,EA,NAS,106.45,106.95,-0.5,21.27,"1,513",23.57,40.48,-0.47%,"1,503",4.29
135,Eli Lilly and Co.,LLY,NYSE,136.12,131.42,4.7,20.73,"5,129",8.32,93.13,3.58%,"5,963",4.19
136,Emerson Electric Co.,EMR,NYSE,62.58,75.88,-13.3,14.44,"2,518",12.83,59.64,-17.53%,"2,635",5.83
